param,RR_median,RR_lo,RR_hi,logRR_mean,logRR_sd
Overall (both locations),0.140274703639059,0.03971190976342054,0.5333753430002838,-1.9511888780816862,0.6387893956163289
Midshaft,0.1397319208753888,0.0649314153064638,0.30053138367470256,-1.9692847205950414,0.391434468854713
Distal (lateral-third),0.14143794290176373,0.05786973663417338,0.35498204710406583,-1.9563538509940497,0.4544490489823021
