location,OR_treat,OR_lo,OR_hi,base_risk_ref,base_lo,base_hi
midshaft,0.07879804374100023,0.03205917126486594,0.1727055212124589,0.0457104800457255,0.02072775789676211,0.08971619493271536
distal,0.07873028237646787,0.02737842204578588,0.20197512393996808,0.09494036006195955,0.04335942799342441,0.18674292103385176
