,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
M,-1.951,0.639,-3.175,-0.579,0.01,0.013,4574.0,4084.0,1.0
mu[midshaft],-1.969,0.391,-2.751,-1.219,0.004,0.003,12606.0,10321.0,1.0
mu[distal],-1.956,0.454,-2.889,-1.08,0.004,0.004,12518.0,10328.0,1.0
tau,0.335,0.27,0.0,0.861,0.003,0.003,6379.0,4023.0,1.0
omega,0.578,0.49,0.0,1.564,0.006,0.006,5447.0,4617.0,1.0
