measure,pooled,ci_low,ci_high,I2_pct,tau2,Q,p_Q
Risk ratio,0.13888239124425233,0.0634218413168848,0.30412738257390265,0.0,0.0,1.2423439923975899,0.940751107613816
Odds ratio,0.11671109465631191,0.051371079939503045,0.2651585217191439,0.0,0.0,1.3161015015119748,0.9332661573083167
