predictor,OR_posterior,OR_lo,OR_hi,OR_published
age,1.2017138020464322,0.9653335702955582,1.4831268902069843,1.2
female,1.4668501495916981,0.817391943857114,2.6169939345566107,1.5
smoking,3.525700494186612,1.578260373464031,7.872516672179398,3.76
complete_displacement,2.2058909711719887,1.1902245744181301,4.003311930961047,2.3
comminution,1.6670745120735693,0.7728186033604844,3.58218498751142,1.75
shortening_gt2cm,1.948383056201981,1.1124339304835442,3.45290166595269,2.0
