study,n,events,mean_age,predictors,reference
Robinson2004,868,54,35,age;female;complete_displacement;shortening_gt2cm,"JBJS Am 2004;86:1359 - prospective nonoperative cohort, all clavicle fractures, nonunion 6.2%"
Murray2013,200,33,40,smoking;comminution,"JBJS Am 2013;95:1153 - displaced midshaft nonoperative cohort, nonunion ~16.5%"
